Date,06614800,06746095,07083000,07105945,09034900,09035800,09035900,09047700,09065500,09066000,09066200,09066300,09081600,09107000,09306242,09352900,WY
2016-03-01,,0.5517382453573783,,,,,,,,,,,,,,,2016
2016-06-01,,-0.7497422255138891,,,,,,,,,,,,,,,2016
2016-09-01,,-0.7054444826986208,,,,,,,,,,,,,,,2016
2016-12-01,,1.1856095339365995,,,,,,,,,,,,,,,2017
2017-03-01,,-0.32503301267428897,,,,,,,,,,,,,,,2017
2017-06-01,,-0.4108709657881809,,,,,,,,,,,,,,,2017
2017-09-01,,0.3871165639293848,,,,,,,,,,,,,,,2017
2017-12-01,,0.108012149989772,,,,,,,,,,,,,,,2018
2018-03-01,,-0.01581989082235224,,,,,,,,,,,,,,,2018
2018-06-01,,-0.33096285057291486,,,,,,,,,,,,,,,2018
2018-09-01,,0.1675771813238975,,,,,,,,,,,,,,,2018
2018-12-01,,-0.23777199618942138,,,,,,,,,,,,,,,2019
2019-03-01,,0.29276417080267597,,,,,,,,,,,,,,,2019
2019-06-01,,0.23233370739966674,,,,,,,,,,,,,,,2019
2019-09-01,,-0.47151148487272765,,,,,,,,,,,,,,,2019
2019-12-01,,0.7625229848819501,,,,,,,,,,,,,,,2020
2020-03-01,,-0.4977772144267375,,,,,,,,,,,,,,,2020
2020-06-01,,-0.6326640305672001,,,,,,,,,,,,,,,2020
2020-09-01,,-0.8297918994176081,,,,,,,,,,,,,,,2020
2020-12-01,,0.02465405784465299,,,,,,,,,,,,,,,2021
2021-03-01,,-0.25972199315106415,,,,,,,,,,,,,,,2021
2021-06-01,,-0.4027264198622684,,,,,,,,,,,,,,,2021
2021-09-01,,-0.04311334456846823,,,,,,,,,,,,,,,2021
2021-12-01,,0.2559256348888661,,,,,,,,,,,,,,,2022
2022-03-01,,0.2549592398241562,,,,,,,,,,,,,,,2022
2022-06-01,,-0.18390429431625788,,,,,,,,,,,,,,,2022
2022-09-01,,-0.43380884087079996,,,,,,,,,,,,,,,2022
1978-09-01,,,-1.8640564580766619,,,,,,,,,,,,,,1978
1978-12-01,,,0.21846666254273706,,,,,,,,,,,,,,1979
1979-03-01,,,-0.09467426160736904,,,,,,,,,,,,,,1979
1979-06-01,,,3.7590012944148827,,,,,,,,,,,,,,1979
1979-09-01,,,-0.483437651723856,,,,,,,,,,,,,,1979
1979-12-01,,,0.35217133893415375,,,,,,,,,,,,,,1980
1980-03-01,,,-0.06271346307506322,,,,,,,,,,,,,,1980
1980-06-01,,,-0.7182121471803548,,,,,,,,,,,,,,1980
1980-09-01,,,-0.3949743281146794,,,,,,,,,,,,,,1980
1980-12-01,,,-1.2044714397566652,,,,,,,,,,,,,,1981
1981-03-01,,,0.3723956013085127,,,,,,,,,,,,,,1981
1981-06-01,,,0.37632885243193176,,,,,,,,,,,,,,1981
1981-09-01,,,0.09656697390029398,,,,,,,,,,,,,,1981
1981-12-01,,,0.4595484731502405,,,,,,,,,,,,,,1982
1982-03-01,,,0.2677994531845424,,,,,,,,,,,,,,1982
1982-06-01,,,-0.049641852679072625,,,,,,,,,,,,,,1982
1982-09-01,,,0.558835579832942,,,,,,,,,,,,,,1982
1982-12-01,,,-0.36321707738713827,,,,,,,,,,,,,,1983
1983-03-01,,,1.4030561526308296,,,,,,,,,,,,,,1983
1983-06-01,,,1.9155024752238121,,,,,,,,,,,,,,1983
1983-09-01,,,0.2719019483496888,,,,,,,,,,,,,,1983
1983-12-01,,,0.21432318605661202,,,,,,,,,,,,,,1984
1984-03-01,,,0.12371848745880515,,,,,,,,,,,,,,1984
1984-06-01,,,1.117450608467311,,,,,,,,,,,,,,1984
1984-09-01,,,1.0897857280824172,,,,,,,,,,,,,,1984
1984-12-01,,,-0.38290738801244767,,,,,,,,,,,,,,1985
1985-03-01,,,-0.29296641061463796,,,,,,,,,,,,,,1985
1985-06-01,,,0.0730779554140818,,,,,,,,,,,,,,1985
1985-09-01,,,1.6484378861034519,,,,,,,,,,,,,,1985
1985-12-01,,,0.6378681258350615,,,,,,,,,,,,,,1986
1986-03-01,,,-0.05667412286366521,,,,,,,,,,,,,,1986
1986-06-01,,,-0.03994678385530631,,,,,,,,,,,,,,1986
1986-09-01,,,0.21712217771058265,,,,,,,,,,,,,,1986
1986-12-01,,,-1.1711996936466735,,,,,,,,,,,,,,1987
1987-03-01,,,-0.6757437249964316,,,,,,,,,,,,,,1987
1987-06-01,,,-0.1688310489685577,,,,,,,,,,,,,,1987
1987-09-01,,,-0.7721605269298479,,,,,,,,,,,,,,1987
1987-12-01,,,0.5256980485564625,,,,,,,,,,,,,,1988
1988-03-01,,,0.008059008381442573,,,,,,,,,,,,,,1988
